split,group_id,formula,group_size_available,selection_rank,SMILES,connectivity,heavy_atoms,elements,selection_status
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,1,Cc1nc2ccc3cnc(N(C)c4cccc([N+](=O)[O-])c4)nc3c2s1,Cc1nc2ccc3cnc(N(C)c4cccc([N+](=O)[O-])c4)nc3c2s1,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,2,CN(N=c1c2ccccc2[nH]c2cccc([N+](=O)[O-])c12)c1nccs1,CN(N=c1c2ccccc2[nH]c2cccc([N+](=O)[O-])c12)c1nccs1,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,3,O=c1[nH]c(=S)n(Cc2ccc(Oc3ccccc3)nc2)c2nc[nH]c12,O=c1[nH]c(=S)n(Cc2ccc(Oc3ccccc3)nc2)c2nc[nH]c12,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,4,Cc1ccc(S(=O)(=O)n2cc(C#N)c3c2ncc2cnn(C)c23)cc1,Cc1ccc(S(=O)(=O)n2cc(C#N)c3c2ncc2cnn(C)c23)cc1,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,5,Nc1ncc(-c2cnn(CC(=O)O)c2)cc1-c1nc2ccccc2s1,Nc1ncc(-c2cnn(CC(=O)O)c2)cc1-c1nc2ccccc2s1,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,6,O=S(=O)(Nc1cccc(-c2nnn[nH]2)c1)c1ccc2ccccc2c1,O=S(=O)(Nc1cccc(-c2nnn[nH]2)c1)c1ccc2ccccc2c1,25,C;H;N;O;S,selected_before_xtb
external,C17H13N5O2S|charge=0,C17H13N5O2S,7,7,Cc1nc(C(=O)Nc2cc(-c3cc[nH]c(=O)c3)cc3[nH]ncc23)cs1,Cc1nc(C(=O)Nc2cc(-c3cc[nH]c(=O)c3)cc3[nH]ncc23)cs1,25,C;H;N;O;S,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,1,COc1ccc(N2Cc3nc(C(=O)O)nn3-c3cccnc32)cc1,COc1ccc(N2Cc3nc(C(=O)O)nn3-c3cccnc32)cc1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,2,Cn1[nH]c(=O)c2c1NC1=C(C(=O)CC1)C2c1ccc2nonc2c1,Cn1[nH]c(=O)c2c1NC1=C(C(=O)CC1)C2c1ccc2nonc2c1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,3,CCc1cc2c(C(=O)Nc3ncncc3C#N)cnc(OC)c2o1,CCc1cc2c(C(=O)Nc3ncncc3C#N)cnc(OC)c2o1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,4,O=[N+]([O-])c1ccc(CO)c(Nc2nccc(-c3cccnc3)n2)c1,O=[N+]([O-])c1ccc(CO)c(Nc2nccc(-c3cccnc3)n2)c1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,5,Cc1noc(-c2cc3cc(-c4cc(C(=O)O)nn4C)ccc3[nH]2)n1,Cc1noc(-c2cc3cc(-c4cc(C(=O)O)nn4C)ccc3[nH]2)n1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,6,NC(=O)c1cccc(NC(=O)c2ccc(-c3cnco3)nc2)c1N,NC(=O)c1cccc(NC(=O)c2ccc(-c3cnco3)nc2)c1N,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,7,CNc1ccc(-c2cc(Oc3ccc([N+](=O)[O-])nc3)ccn2)cn1,CNc1ccc(-c2cc(Oc3ccc([N+](=O)[O-])nc3)ccn2)cn1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,8,COc1ccnc(C(=O)Nc2cncc(Oc3cncnc3)c2)c1,COc1ccnc(C(=O)Nc2cncc(Oc3cncnc3)c2)c1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,9,CC(=O)NNc1nc(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1,CC(=O)NNc1nc(-c2ccccc2)c2cc([N+](=O)[O-])ccc2n1,24,C;H;N;O,selected_before_xtb
external,C16H13N5O3|charge=0,C16H13N5O3,11,10,Cc1ccc([N+](=O)[O-])cc1Nc1nc(O)cc(-c2cccnc2)n1,Cc1ccc([N+](=O)[O-])cc1Nc1nc(O)cc(-c2cccnc2)n1,24,C;H;N;O,selected_before_xtb
external,C16H20N4O7S|charge=0,C16H20N4O7S,3,1,CCCOc1ccccc1OS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,CCCOc1ccccc1OS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,28,C;H;N;O;S,selected_before_xtb
