split,group_id,formula,group_size_available,selection_rank,SMILES,connectivity,heavy_atoms,elements,selection_status
training,C18H15F3N4OS|charge=0,C18H15F3N4OS,3,1,Nc1nc2c(Oc3cc(C4=CCC(C(F)(F)F)CC4)ncn3)cccc2s1,Nc1nc2c(Oc3cc(C4=CCC(C(F)(F)F)CC4)ncn3)cccc2s1,27,C;F;H;N;O;S,selected_before_xtb
training,C18H15F3N4OS|charge=0,C18H15F3N4OS,3,2,OC(c1ncc(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)s1)C1CC1,OC(c1ncc(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)s1)C1CC1,27,C;F;H;N;O;S,selected_before_xtb
training,C18H15F3N4OS|charge=0,C18H15F3N4OS,3,3,CO/C=C/c1ncc(-c2cc(C)cc(Nc3nccc(C(F)(F)F)n3)c2)s1,COC=Cc1ncc(-c2cc(C)cc(Nc3nccc(C(F)(F)F)n3)c2)s1,27,C;F;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,1,Cc1ccc(S(=O)(=O)n2ccc3c(CO)c(Cl)cc(C)c32)cc1,Cc1ccc(S(=O)(=O)n2ccc3c(CO)c(Cl)cc(C)c32)cc1,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,2,COc1cc(CCl)ccc1OCc1nc(-c2cccs2)oc1C,COc1cc(CCl)ccc1OCc1nc(-c2cccs2)oc1C,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,3,COC(=O)c1ccc(Cl)cc1NC(=O)CSCc1ccccc1,COC(=O)c1ccc(Cl)cc1NC(=O)CSCc1ccccc1,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,4,O=S(=O)(c1cccc(Cl)c1)c1ccc2c(c1)C1CCNCC1O2,O=S(=O)(c1cccc(Cl)c1)c1ccc2c(c1)C1CCNCC1O2,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,5,O=S(=O)(CCNCc1ccco1)c1ccc2ccccc2c1Cl,O=S(=O)(CCNCc1ccco1)c1ccc2ccccc2c1Cl,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,6,Cc1c(Sc2ccc(Cl)cc2)c2c(n1CC(=O)O)CCCC2=O,Cc1c(Sc2ccc(Cl)cc2)c2c(n1CC(=O)O)CCCC2=O,23,C;Cl;H;N;O;S,selected_before_xtb
training,C17H16ClNO3S|charge=0,C17H16ClNO3S,14,7,CN(C)C(=O)SC(C(=O)O)c1ccc(-c2ccccc2Cl)cc1,CN(C)C(=O)SC(C(=O)O)c1ccc(-c2ccccc2Cl)cc1,23,C;Cl;H;N;O;S,selected_before_xtb
