split,group_id,formula,SMILES,connectivity,status,message,energy_Eh,energy_eV,elapsed_seconds,protocol
training,C10H10BFO3|charge=0,C10H10BFO3,CC1(C)OB(O)c2cc(C=O)cc(F)c21,CC1(C)OB(O)c2cc(C=O)cc(F)c21,success,reused exact unchanged audited target (group_records),-44.758309150677,-1217.9356380164108,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BFO3|charge=0,C10H10BFO3,CC1(C)OB(O)c2cc(F)c(C=O)cc21,CC1(C)OB(O)c2cc(F)c(C=O)cc21,success,reused exact unchanged audited target (group_records),-44.752300860858,-1217.7721441214683,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BFO3|charge=0,C10H10BFO3,CC1(C)OB(O)c2ccc(C=O)c(F)c21,CC1(C)OB(O)c2ccc(C=O)c(F)c21,success,reused exact unchanged audited target (group_records),-44.757287126807,-1217.9078273301318,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BNO2|charge=0,C10H10BNO2,Cc1ccc(B(O)O)c2cccnc12,Cc1ccc(B(O)O)c2cccnc12,success,reused exact unchanged audited target (group_records),-38.88355933271801,-1058.075551621381,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BNO2|charge=0,C10H10BNO2,Cc1ccc2c(B(O)O)cccc2n1,Cc1ccc2c(B(O)O)cccc2n1,success,reused exact unchanged audited target (group_records),-38.878686966429,-1057.942967780359,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BNO2|charge=0,C10H10BNO2,Cc1ccc2ncccc2c1B(O)O,Cc1ccc2ncccc2c1B(O)O,success,reused exact unchanged audited target (group_records),-38.878878445187,-1057.9481781828008,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BNO2|charge=0,C10H10BNO2,N#Cc1ccccc1B1OCCCO1,N#Cc1ccccc1B1OCCCO1,success,reused exact unchanged audited target (group_records),-38.840215333306006,-1056.8961013119351,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10BNO2|charge=0,C10H10BNO2,Nc1ccc2cc(B(O)O)ccc2c1,Nc1ccc2cc(B(O)O)ccc2c1,success,reused exact unchanged audited target (group_records),-38.879015887056006,-1057.9519181665846,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,Brc1cc(Br)cc(OCC2CC2)c1,Brc1cc(Br)cc(OCC2CC2)c1,success,reused exact unchanged audited target (group_records),-38.71941613350601,-1053.6089876279711,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,CC(=O)C(Br)Cc1cccc(Br)c1,CC(=O)C(Br)Cc1cccc(Br)c1,success,reused exact unchanged audited target (group_records),-38.733342907161,-1053.9879544450578,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,CC(Br)C(Br)C(=O)c1ccccc1,CC(Br)C(Br)C(=O)c1ccccc1,success,reused exact unchanged audited target (group_records),-38.724383250184,-1053.7441497584248,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,CC(C)(Br)C(=O)c1ccc(Br)cc1,CC(C)(Br)C(=O)c1ccc(Br)cc1,success,reused exact unchanged audited target (group_records),-38.731467046400006,-1053.9369096733465,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,CC1(C)Oc2c(Br)cccc2C1Br,CC1(C)Oc2c(Br)cccc2C1Br,success,reused exact unchanged audited target (group_records),-38.767385261483,-1054.9142940972363,0.0,synde-ord-gfn2-xtb-extreme-v1
training,C10H10Br2O|charge=0,C10H10Br2O,COc1ccc(CC=C(Br)Br)cc1,COc1ccc(CC=C(Br)Br)cc1,success,reused exact unchanged audited target (group_records),-38.710091353932,-1053.3552474493242,0.0,synde-ord-gfn2-xtb-extreme-v1
